round,labeled_size,miou_round,f1_round,epochs_observed,experiment
3,327,0.7083739944012828,0.7985000983240116,10,uncertainty_only
4,415,0.7254129040649571,0.8142918154879178,10,uncertainty_only
5,503,0.7377494141905518,0.8255455111975083,10,uncertainty_only
6,591,0.7498095505862907,0.8359739064272523,10,uncertainty_only
7,679,0.7322923843884148,0.8205709582545015,10,uncertainty_only
8,767,0.7405760287121129,0.8277904170276135,10,uncertainty_only
9,855,0.7488924333140446,0.8351700571731466,10,uncertainty_only
10,943,0.7583003891201529,0.8432922738823122,10,uncertainty_only
11,1031,0.7585333470405948,0.8433196789736808,10,uncertainty_only
12,1119,0.7631448158066011,0.8474278801436513,10,uncertainty_only
13,1207,0.7594775313248308,0.8441952869120224,10,uncertainty_only
