round,epoch,labeled_size,loss,mIoU,f1,grad_train_val_cos,grad_cos_to_mean_mean,grad_cos_consecutive_mean,grad_total_norm_mean,experiment_name
12,5,1119,0.08499687450093395,0.695857689595738,0.7856095909578515,-0.7386052050571843,0.45649213142138445,-0.16311051114642686,0.689560105517072,no_normalization
12,6,1119,0.0815308535718576,0.7354380242912232,0.8232557766219726,-0.8101453236067176,0.709349962573522,0.6240528599870447,0.6149413336066445,no_normalization
12,7,1119,0.07699487726187407,0.7530975144770913,0.8388659859224425,0.358689831043642,0.4640404585286132,-0.029224725849395505,0.5180182939485491,no_normalization
12,8,1119,0.07260510726000673,0.7516725418319417,0.8374776528333954,-0.43046953890603484,0.23578821457675542,0.11013858610830692,0.4805534674470887,no_normalization
12,9,1119,0.07029719089949003,0.7565395505577434,0.8416764201718794,0.4335931312854253,0.20387599458927574,0.05753022829644884,0.45232546251933664,no_normalization
12,10,1119,0.0691839985642916,0.7662722821257478,0.8499534071138084,0.38082380341277133,0.018880672992325376,-0.14753724951363556,0.4469422766854059,no_normalization
13,1,1207,0.23605672866601088,0.6754103277770109,0.7649296680568136,0.8921584634504339,0.9973741378043224,0.9936089854352268,2.2522019342677617,no_normalization
13,2,1207,0.11054866489926446,0.7038832339353969,0.7937401512367895,0.8607959675462908,0.8224462773406407,0.5912843897323851,0.9281785186739405,no_normalization
13,3,1207,0.09515622263136893,0.6925861812781005,0.7824068124204959,0.6156265439164307,0.5947565954530235,0.3896709926974266,0.7369970771398562,no_normalization
13,4,1207,0.08755759188156588,0.7020796295939753,0.7917665843242536,0.3272605681694865,0.5455300154305444,0.11740807189257271,0.6021345629192003,no_normalization
13,5,1207,0.08193602924083554,0.7404515466709461,0.8276738209207949,0.11147182135042571,0.1414804757924833,-0.27108792563962064,0.5411645949169187,no_normalization
13,6,1207,0.07850358586919268,0.7314829127058464,0.8195517717427541,0.6185077235851028,0.26381476405971926,0.1645579625969467,0.5305895380713395,no_normalization
13,7,1207,0.07338918900222477,0.7611653065983219,0.8457553233311708,-0.7701017678769045,0.21041205925903642,0.016211396336598342,0.44999524232841337,no_normalization
13,8,1207,0.07054180184075999,0.7490461704222009,0.8356784257733454,0.5938121134658111,0.8604494861118042,0.6894952310608649,0.44004882684299806,no_normalization
13,9,1207,0.06730350102004022,0.7646218849376879,0.8486262127601241,0.6120292805081127,0.7729087303525959,0.5051569591915904,0.3883247399384265,no_normalization
13,10,1207,0.06521072582128239,0.7486222197472288,0.8347301536929153,-0.7952161737458386,0.4705708065603558,-0.027631439717693693,0.3984921152397472,no_normalization
14,1,1295,0.17197225016798398,0.6585748716498424,0.7464659900960615,0.8554316801120504,0.9956130317684306,0.9912508744849803,2.052975850053074,no_normalization
14,2,1295,0.09707174717734103,0.7050245116108684,0.7948608960886614,0.7852049956010084,0.6114178402968169,0.1834475770997169,0.8931797529504893,no_normalization
14,3,1295,0.08703360519149908,0.6892678329975952,0.7790426539477731,0.4075325553231848,0.25218578450810225,-0.22154674228719637,0.7327187945064174,no_normalization
14,4,1295,0.07992542624450505,0.7331142835710827,0.8211028644047834,0.26768392578308,0.07962670744734708,-0.10802039577574847,0.59280580369031,no_normalization
14,5,1295,0.07566948856685553,0.7473099629117388,0.8337818463570951,0.1391950033987432,0.3883294230172298,0.25733222094711966,0.5408187466710447,no_normalization
14,6,1295,0.0720374301917874,0.7495859333125787,0.8357857123256345,-0.34273784133467755,0.2874672621101795,-0.4546978414185908,0.48328477188199054,no_normalization
14,7,1295,0.0676743941548808,0.7431538322061315,0.8300814930060321,0.11767911074206203,0.15223198984707936,-0.4928013537622798,0.417078422869763,no_normalization
14,8,1295,0.06744741495617956,0.756425046273524,0.841877271730638,-0.08086640639058755,0.04637013953561236,0.32378018226429617,0.4583529927829512,no_normalization
14,9,1295,0.06499431999371424,0.7603652185549827,0.8448651339386909,-0.8097090793953022,0.3482137142996114,-0.4790355072117699,0.40470814630288227,no_normalization
14,10,1295,0.0636619656770591,0.7261381543028728,0.8146607267152162,0.7371086104961813,-0.31795313619253884,-0.0971739079668004,0.404992101870711,no_normalization
15,1,1383,0.2147529342468234,0.6679927674166908,0.7572675936732297,0.9238542839074179,0.9983038465397639,0.9962335979028129,2.0943293872913133,no_normalization
15,2,1383,0.10026494860649109,0.6513878864489613,0.7382830163783058,0.4772516095086964,0.60150025241862,0.040928062036361824,0.7961855032990917,no_normalization
15,3,1383,0.0854622551712437,0.712306717639468,0.8017995730710512,0.20272137937672474,0.5117207394481615,0.5546948392405647,0.6399945413856879,no_normalization
15,4,1383,0.07933402743892393,0.7045268639734364,0.7941773746351886,-0.4036707960058203,0.4617136385366316,0.3127929699769475,0.5597390419493856,no_normalization
15,5,1383,0.07480792548993359,0.7397135075458826,0.8270106142682352,-0.33302023896830535,0.4145497936545677,0.09373007782059246,0.5086375689287578,no_normalization
15,6,1383,0.07043582842941733,0.7504713448512326,0.8364748091072991,-0.6253511630014622,0.454212834785364,-0.22343635204410672,0.46696461157156205,no_normalization
15,7,1383,0.06775581405862519,0.7314580645207912,0.8195098083112866,-0.5183970158372373,0.5250636358946572,0.3591830071593863,0.41819851011454773,no_normalization
15,8,1383,0.06609838583601126,0.7448356883740905,0.8315268404518696,0.5071932786320447,0.18129951520630694,0.24612324612775943,0.43209864279883214,no_normalization
15,9,1383,0.06392637620261614,0.6907927885366631,0.7804069222053911,0.3248983661727577,0.20105713717703827,-0.5004322795392662,0.3911589152280326,no_normalization
15,10,1383,0.06128359823015289,0.7448733879366369,0.8315056638830193,-0.31214420747618393,0.29469504771977517,0.20654131365484668,0.3701454230960172,no_normalization
1,1,151,0.5368079623660525,0.49090753517796726,0.503868205937046,0.8139835713352713,0.9989562359178068,0.9980114048711203,4.9389701281605545,random_lambda
1,2,151,0.302547901063352,0.5104633210498931,0.5382219894424977,0.9118401237102856,0.9994268539718556,0.9986180345619756,2.4862564193858443,random_lambda
1,3,151,0.19071394728647695,0.5202113230297996,0.5552027731598449,0.9353823731833368,0.9926860734978433,0.9868257142465708,1.6266630425125541,random_lambda
1,4,151,0.136072949380488,0.5338575358470076,0.5780601916394641,0.9081262287493054,0.9825576745038964,0.9677859006881224,1.1860066155925744,random_lambda
1,5,151,0.1046589933134414,0.5489428949613985,0.6018802610867998,0.9271016814557167,0.8447338288864334,0.6295587136531126,0.8981382782978907,random_lambda
1,6,151,0.08762266728523616,0.6290570510911997,0.7137014174267756,0.9485887800625281,0.9766974703429299,0.9560762443239736,0.7870806359393641,random_lambda
